IndexId	cid	StockNo	Name	Class	IndustryCode	IndustryName	ClassifyCode	Classification	NumberOfShares	CommonStock	GroupName	UpdateTime	IsListed	IsETF	CommodityCode	FutureName	DayTradingForbidden	StopTrading	InAttention	FullDelivery	InSplit	InDisposal	ConvertibleBonds	CB_ReceiveDate	EPS	PER	YIELD	ROE	ROA	FI	IT	DE	MF	TopThree	Financing	ShortSelling	SecurityLend	Hedging
1	2	7822	倍利科	TWSE	CK	儀器設備工程	CK04	半導體檢測	45561	45561		20260914	1	0			0	0	0	0	0	0			18.92	47.07	0.77	3.89	2.96	-34	0	-2	-29	-36	0	0	2	-2
2	2	6134	萬旭	OTC	BP	連接元件	BP02	連接線材	81882	81882		20260914	2	0			0	0	0	0	0	0	61343	2026-06-03	0.8	35.7	0.71	1.85	0.94	23	0	0	3	22	-8	0	1	-2
3	2	1786	科妍	TWSE	AK	生技	AK01	醫療器材	74828	74828		20260914	1	0			0	0	0	0	0	0	17863	2025-03-14	2.44	17.75	4.41	1.9	1.41	32	0	0	0	32	-38	-4	5	0
4	2	7875	安圖斯	ROTC	CL	電腦周邊產品	CL01	電腦及周邊產品	20000	20000	宏碁集團	20260914	3	0			1	0	0	0	0	0			4.13	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	4533	協易機	OTC	AY	電機	AY01	機械	178434	178434		20260914	2	0			0	0	0	0	0	0			0.6	40.83	0.72	-0.42	-0.09	-12	0	-1	-75	-13	-6	-1	93	-1
6	2	6716	應廣	OTC	BF	IC-設計	DC01	MCU	30242	30242		20260914	2	0			0	0	0	0	0	0			6.36	18.52	1.39	11.27	7.26	5	0	0	-13	5	16	0	0	0
7	2	3018	隆銘綠能	TWSE	AY	電機	AY04	機電工程	75378	75378		20260914	1	0			1	0	0	0	0	0			-3.57	0	0	-24.79	-9.42	4	0	0	-1	4	0	0	0	0
8	2	2915	潤泰全	TWSE	AL	百貨	AL03	百貨	1104319	1104319	潤泰集團	20260914	1	0	DWF	潤泰全期貨	0	0	0	0	0	0			32.23	4.07	3.36	4.74	4.34	107	0	-7	-14	99	-29	0	75	0
9	2	8059	凱碩	OTC	CI	網通設備	CI02	網路設備	194081	194081	新金寶集團	20260914	2	0			1	1	0	0	0	0			-1.06	0	0	-3.87	-0.53	0	0	0	0	0	0	0	0	0
10	2	7876	鼎晉生技	ROTC	AK	生技	AK03	製藥業	107408	107408		20260914	3	0			1	0	0	0	0	0			-6.5	0	0	0	0	0	0	0	0	28	0	0	0	0
